"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.111537975E2,5.123379075E1,2.087320813E1,1.925498015E2,2.270000000E2,1.732999992E1,5.500000000E0,4.886971535E0,1.200000000E1,9.000000000E0,1.900000000E1
1.121537959E2,5.123394740E1,2.087324702E1,1.925506261E2,2.270000000E2,1.752000046E1,6.900000095E0,4.903109658E0,1.150000000E1,9.000000000E0,2.100000000E1
1.131537942E2,5.123409023E1,2.087328818E1,1.935513878E2,2.280000000E2,1.681999969E1,8.100000381E0,4.919408515E0,1.150000000E1,9.000000000E0,2.200000000E1
1.141537925E2,5.123423532E1,2.087332145E1,1.935521468E2,2.280000000E2,1.721999931E1,7.099999905E0,4.937830840E0,1.050000000E1,9.000000000E0,2.200000000E1
1.151537909E2,5.123439810E1,2.087337074E1,1.945530190E2,2.290000000E2,1.802999878E1,8.100000381E0,4.956948905E0,1.100000000E1,9.000000000E0,2.200000000E1
1.161537892E2,5.123456368E1,2.087344467E1,1.955539476E2,2.300000000E2,1.943000031E1,1.039999962E1,4.974511125E0,1.000000000E1,9.000000000E0,2.200000000E1
1.171537875E2,5.123471418E1,2.087352119E1,1.955548078E2,2.300000000E2,1.994999886E1,1.069999981E1,4.994667334E0,1.000000000E1,9.000000000E0,2.200000000E1
1.181537859E2,5.123489133E1,2.087358255E1,1.955557704E2,2.300000000E2,2.055999947E1,9.699999809E0,5.017052118E0,9.500000000E0,9.000000000E0,2.000000000E1
1.191537842E2,5.123508738E1,2.087365556E1,1.975568446E2,2.320000000E2,2.262999916E1,1.060000038E1,5.040488048E0,1.000000000E1,9.000000000E0,2.100000000E1
1.201537826E2,5.123529253E1,2.087373275E1,1.975579701E2,2.320000000E2,2.668999863E1,1.139999962E1,5.066077370E0,9.500000000E0,9.000000000E0,2.100000000E1
1.211537810E2,5.123551629E1,2.087381867E1,1.985592005E2,2.330000000E2,2.677999878E1,1.200000000E1,5.093643534E0,9.500000000E0,9.000000000E0,2.100000000E1
1.221537792E2,5.123575727E1,2.087391162E1,1.995605265E2,2.340000000E2,2.793999863E1,1.280000019E1,5.125528535E0,8.000000000E0,8.000000000E0,2.200000000E1
1.231537776E2,5.123603508E1,2.087402503E1,2.005620660E2,2.350000000E2,3.193999863E1,1.360000038E1,5.161002659E0,8.000000000E0,8.000000000E0,2.000000000E1
1.241537760E2,5.123634354E1,2.087415512E1,2.005637825E2,2.350000000E2,3.439999771E1,1.550000000E1,5.198235226E0,8.000000000E0,8.000000000E0,1.900000000E1
1.251537743E2,5.123666159E1,2.087432234E1,2.015656097E2,2.360000000E2,3.695999908E1,1.729999924E1,5.235433210E0,8.500000000E0,9.000000000E0,2.200000000E1
1.261537727E2,5.123697838E1,2.087449400E1,2.015674386E2,2.360000000E2,3.864999771E1,1.989999962E1,5.276636277E0,8.500000000E0,9.000000000E0,2.400000000E1
1.271537710E2,5.123732732E1,2.087469315E1,2.015694706E2,2.360000000E2,4.097999954E1,2.160000038E1,5.319056761E0,8.500000000E0,9.000000000E0,2.400000000E1
1.281537693E2,5.123767819E1,2.087493237E1,2.015715814E2,2.360000000E2,4.240999985E1,2.310000038E1,5.361868706E0,8.000000000E0,9.000000000E0,2.400000000E1
1.291537676E2,5.123802985E1,2.087518274E1,2.025737153E2,2.370000000E2,4.293999863E1,2.420000076E1,5.405494253E0,8.000000000E0,9.000000000E0,2.500000000E1
1.301537660E2,5.123838038E1,2.087546420E1,2.035758977E2,2.380000000E2,4.389999771E1,2.600000000E1,5.450107347E0,8.000000000E0,9.000000000E0,2.600000000E1
1.311537643E2,5.123872928E1,2.087578062E1,2.065781328E2,2.410000000E2,4.497999954E1,2.779999924E1,5.495946836E0,7.500000000E0,8.000000000E0,2.300000000E1
1.321537627E2,5.123908844E1,2.087610383E1,2.085804293E2,2.430000000E2,4.566999817E1,2.950000000E1,5.540963910E0,7.500000000E0,9.000000000E0,2.100000000E1
1.331537610E2,5.123943357E1,2.087644187E1,2.115826837E2,2.460000000E2,4.596999741E1,3.120000076E1,5.586545783E0,8.000000000E0,9.000000000E0,2.400000000E1
1.341537593E2,5.123977580E1,2.087680229E1,2.155849629E2,2.500000000E2,4.547999954E1,3.320000076E1,5.632838129E0,7.500000000E0,9.000000000E0,2.400000000E1
1.351537578E2,5.124011946E1,2.087717763E1,2.185872749E2,2.530000000E2,4.593000031E1,3.559999847E1,5.681327222E0,7.500000000E0,9.000000000E0,2.400000000E1
1.361537561E2,5.124047468E1,2.087758164E1,2.225896925E2,2.570000000E2,4.656999969E1,3.720000076E1,5.728083960E0,8.500000000E0,1.000000000E1,2.400000000E1
1.371537545E2,5.124080841E1,2.087799026E1,2.235920141E2,2.580000000E2,4.646999741E1,3.829999924E1,5.774228624E0,8.500000000E0,1.000000000E1,2.100000000E1
1.381537529E2,5.124112566E1,2.087841757E1,2.255942886E2,2.600000000E2,4.588999939E1,3.970000076E1,5.818152460E0,8.500000000E0,1.000000000E1,2.000000000E1
1.391537512E2,5.124142423E1,2.087883071E1,2.265964481E2,2.610000000E2,4.496999741E1,4.109999847E1,5.862908507E0,8.000000000E0,1.000000000E1,2.000000000E1
1.401537495E2,5.124171378E1,2.087927730E1,2.275986221E2,2.620000000E2,4.502999878E1,4.279999924E1,5.906926069E0,8.000000000E0,1.000000000E1,2.000000000E1
1.411537479E2,5.124199424E1,2.087972355E1,2.296007515E2,2.640000000E2,4.436000061E1,4.550000000E1,5.952504841E0,8.000000000E0,9.000000000E0,2.100000000E1
1.421537463E2,5.124227243E1,2.088020442E1,2.306029300E2,2.650000000E2,4.455999756E1,4.770000076E1,5.995181672E0,8.000000000E0,9.000000000E0,2.200000000E1
1.431537447E2,5.124252125E1,2.088067121E1,2.306049421E2,2.650000000E2,4.411000061E1,4.909999847E1,6.037424280E0,8.500000000E0,1.000000000E1,2.100000000E1
1.441537430E2,5.124276068E1,2.088114236E1,2.296069164E2,2.640000000E2,4.380999756E1,5.009999847E1,6.080184758E0,8.500000000E0,1.000000000E1,2.100000000E1
1.451537414E2,5.124299252E1,2.088163245E1,2.276088869E2,2.620000000E2,4.427999878E1,5.159999847E1,6.125492468E0,8.000000000E0,1.000000000E1,2.200000000E1
1.461537397E2,5.124324054E1,2.088214885E1,2.276109811E2,2.620000000E2,4.487999725E1,5.279999924E1,6.171346928E0,8.000000000E0,9.000000000E0,2.200000000E1
1.471537381E2,5.124348236E1,2.088268245E1,2.256130752E2,2.600000000E2,4.511999893E1,5.470000076E1,6.217373632E0,8.500000000E0,9.000000000E0,2.200000000E1
1.481537364E2,5.124372208E1,2.088322149E1,2.236151686E2,2.580000000E2,4.545999908E1,5.600000000E1,6.265214676E0,8.500000000E0,9.000000000E0,2.300000000E1
1.491537348E2,5.124396914E1,2.088378416E1,2.236173384E2,2.580000000E2,4.600000000E1,5.650000000E1,6.310388949E0,8.500000000E0,9.000000000E0,2.400000000E1
1.501537331E2,5.124419277E1,2.088432597E1,2.226193588E2,2.570000000E2,4.527999878E1,5.729999924E1,6.355691758E0,9.000000000E0,9.000000000E0,2.400000000E1
1.511537315E2,5.124441024E1,2.088487633E1,2.236213642E2,2.580000000E2,4.490999985E1,5.770000076E1,6.398675762E0,9.000000000E0,9.000000000E0,2.400000000E1
1.521537298E2,5.124460881E1,2.088540615E1,2.236232427E2,2.580000000E2,4.336000061E1,5.800000000E1,6.441469793E0,9.500000000E0,1.000000000E1,2.300000000E1
